race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDTurnout
WVAP,0.8373 (0.8073-0.865),0.0207 (0.0131-0.0311),0.142 (0.1149-0.1706),0.1266 (0.1207-0.1324)
OVAP,0.1368 (0.0724-0.2164),0.4008 (0.3458-0.4604),0.4624 (0.3845-0.5322),0.0387 (0.0333-0.0441)
