race,SEN12D,SEN12R,SEN12Turnout
WVAP,0.6882 (0.6691-0.7062),0.3118 (0.2938-0.3309),0.5456 (0.5197-0.5701)
OVAP,0.9072 (0.8574-0.9444),0.0928 (0.0556-0.1426),0.186 (0.1595-0.2149)
