race,SEN12PD_BC,SEN12PD_CM,SEN12PDTurnout
WVAP,0.9831 (0.975-0.9899),0.0169 (0.0101-0.025),0.0976 (0.0907-0.1044)
OVAP,0.5653 (0.3751-0.6865),0.4347 (0.3135-0.6249),0.0161 (0.0108-0.0218)
