race,COMP18D,COMP18R,COMP18Turnout
WVAP,0.7441 (0.7186-0.7758),0.2559 (0.2242-0.2814),0.454 (0.4291-0.4779)
BVAP,0.894 (0.8195-0.9453),0.106 (0.0547-0.1805),0.2514 (0.1821-0.3205)
HVAP,0.8534 (0.7068-0.9422),0.1466 (0.0578-0.2932),0.1136 (0.0644-0.1716)
OVAP,0.7735 (0.5888-0.8969),0.2265 (0.1031-0.4112),0.2411 (0.1655-0.3273)
