race,COMP18D,COMP18R,COMP18Turnout
WVAP,0.7107 (0.6946-0.7284),0.2893 (0.2716-0.3054),0.469 (0.4463-0.4921)
OVAP,0.9251 (0.8878-0.9536),0.0749 (0.0464-0.1122),0.1901 (0.1652-0.2151)
