race,GOV14D,GOV14R,GOV14Turnout
WVAP,0.5839 (0.5596-0.6072),0.4161 (0.3928-0.4404),0.4505 (0.4283-0.4738)
OVAP,0.842 (0.7516-0.9088),0.158 (0.0912-0.2484),0.0967 (0.0741-0.119)
