race,PRES16D,PRES16R,PRES16None
WVAP,0.0585 (0.0446-0.0752),0.2682 (0.2532-0.2806),0.6733 (0.6549-0.6915)
OVAP,0.4513 (0.3783-0.5183),0.1023 (0.0528-0.1637),0.4464 (0.3692-0.5298)
