race,SEN12D,SEN12R,SEN12None
WVAP,0.1275 (0.1163-0.1397),0.2245 (0.2206-0.2274),0.648 (0.6357-0.6594)
OVAP,0.2717 (0.2182-0.3229),0.0197 (0.0088-0.0361),0.7086 (0.6568-0.7626)
