race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDNone
WVAP,0.0169 (0.0152-0.0184),0.0027 (0.0016-0.004),0.0205 (0.0184-0.0225),0.9599 (0.9571-0.9629)
OVAP,0.0083 (0.0037-0.0148),0.0223 (0.0157-0.0283),0.0164 (0.0094-0.0252),0.953 (0.9404-0.9646)
