race,COMP18D,COMP18R,COMP18None
WVAP,0.1522 (0.1278-0.1771),0.1536 (0.1428-0.1627),0.6942 (0.6696-0.7178)
OVAP,0.2714 (0.1604-0.3832),0.0956 (0.0529-0.1507),0.633 (0.5257-0.7467)
