race,SEN16PD_CV,SEN16PD_DE,SEN16PDNone
WVAP,0.0398 (0.0364-0.0429),0.0131 (0.0099-0.0161),0.9471 (0.9425-0.9516)
BVAP,0.0219 (0.0104-0.039),0.0596 (0.0401-0.0811),0.9185 (0.891-0.942)
HVAP,0.0499 (0.0144-0.1026),0.0612 (0.0219-0.1175),0.889 (0.816-0.9515)
OVAP,0.0463 (0.0171-0.0903),0.0658 (0.0259-0.1242),0.8879 (0.8191-0.9418)
