race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDNone
WVAP,0.0112 (0.0091-0.0133),0.0142 (0.0129-0.0155),0.009 (0.008-0.0098),0.9656 (0.9628-0.9683)
BVAP,0.0455 (0.0316-0.0609),0.009 (0.0043-0.0157),0.0078 (0.0037-0.0135),0.9377 (0.9198-0.9541)
HVAP,0.0328 (0.0097-0.0658),0.0231 (0.0074-0.0473),0.0169 (0.0069-0.0341),0.9271 (0.8835-0.9591)
OVAP,0.0323 (0.0091-0.0677),0.019 (0.0063-0.0407),0.0144 (0.0052-0.0284),0.9343 (0.8925-0.9649)
