race,PRES12D,PRES12R,PRES12None
WVAP,0.1426 (0.1281-0.1571),0.3123 (0.3076-0.316),0.5451 (0.5304-0.5598)
OVAP,0.336 (0.2709-0.3998),0.0249 (0.0117-0.0456),0.6391 (0.5742-0.7046)
