race,SEN16D,SEN16R,SEN16None
WVAP,0.0685 (0.0524-0.089),0.2628 (0.2498-0.2737),0.6686 (0.6494-0.6872)
OVAP,0.4497 (0.3586-0.5229),0.0973 (0.0521-0.1548),0.453 (0.3761-0.5396)
