race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDNone
WVAP,0.0141 (0.0124-0.0157),0.0049 (0.004-0.0059),0.0044 (0.0037-0.005),0.0009 (0.0006-0.0014),0.0053 (0.0043-0.0063),0.9703 (0.9679-0.9727)
OVAP,0.0149 (0.0091-0.0219),0.0085 (0.005-0.013),0.0047 (0.0021-0.0079),0.0064 (0.0041-0.0085),0.0098 (0.0055-0.0148),0.9557 (0.9453-0.9657)
