race,GOV14D,GOV14R,GOV14None
WVAP,0.0327 (0.023-0.0455),0.2488 (0.238-0.2583),0.7185 (0.7036-0.7327)
OVAP,0.3259 (0.2619-0.3788),0.0793 (0.043-0.1255),0.5947 (0.5293-0.6654)
