race,SEN18D,SEN18R,SEN18None
WVAP,0.0836 (0.0677-0.1007),0.1815 (0.1697-0.1916),0.7348 (0.7172-0.7517)
BVAP,0.2915 (0.1902-0.3958),0.1111 (0.0591-0.1843),0.5973 (0.4959-0.7)
HVAP,0.4582 (0.2807-0.6332),0.162 (0.0625-0.3016),0.3798 (0.2298-0.5417)
OVAP,0.5711 (0.3861-0.7311),0.1663 (0.0617-0.3117),0.2626 (0.1333-0.421)
