race,SEN12PD_BC,SEN12PD_CM,SEN12PDNone
WVAP,0.0322 (0.0294-0.0346),0.0006 (0.0003-0.001),0.9672 (0.9647-0.97)
OVAP,0.0242 (0.0153-0.0356),0.0059 (0.0044-0.0072),0.9699 (0.9586-0.979)
