race,AG14D,AG14R,AG14None
WVAP,0.0674 (0.0538-0.0827),0.1857 (0.1748-0.1952),0.7468 (0.732-0.7613)
BVAP,0.2134 (0.1173-0.3099),0.1088 (0.0586-0.1783),0.6778 (0.5812-0.7712)
HVAP,0.44 (0.2436-0.6101),0.1287 (0.0441-0.2488),0.4313 (0.2708-0.6065)
OVAP,0.4968 (0.2652-0.6793),0.1554 (0.0524-0.325),0.3478 (0.2073-0.5214)
