race,SEN12PD_BC,SEN12PD_CM,SEN12PDNone
WVAP,0.0288 (0.0259-0.0317),0.0004 (0.0003-0.0007),0.9708 (0.9679-0.9738)
BVAP,0.0221 (0.011-0.0349),0.0034 (0.0019-0.0054),0.9744 (0.9614-0.9858)
HVAP,0.0558 (0.0193-0.1061),0.0106 (0.0044-0.0187),0.9336 (0.8815-0.9707)
OVAP,0.1023 (0.0431-0.1747),0.0168 (0.0077-0.0267),0.8808 (0.8051-0.9415)
