race,COMP18D,COMP18R,COMP18None
WVAP,0.138 (0.12-0.1564),0.1419 (0.1311-0.1523),0.7201 (0.7024-0.7376)
BVAP,0.2612 (0.1653-0.3681),0.1221 (0.0653-0.201),0.6166 (0.509-0.7174)
HVAP,0.4301 (0.2323-0.6299),0.1674 (0.0679-0.3048),0.4025 (0.2372-0.5815)
OVAP,0.5201 (0.3365-0.6864),0.1995 (0.0735-0.3497),0.2805 (0.1575-0.444)
