race,GOV18D,GOV18R,GOV18None
WVAP,0.0234 (0.0162-0.0332),0.273 (0.2564-0.2867),0.7036 (0.687-0.7217)
OVAP,0.3119 (0.2661-0.3526),0.1134 (0.0568-0.1846),0.5747 (0.4995-0.6477)
