race,COMP14D,COMP14R,COMP14None
WVAP,0.1383 (0.1162-0.1578),0.1706 (0.1601-0.1798),0.6912 (0.6721-0.7125)
OVAP,0.1839 (0.1024-0.2823),0.0987 (0.0553-0.1548),0.7174 (0.6223-0.8044)
