race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDNone
WVAP,0.0117 (0.0091-0.0141),0.0155 (0.0144-0.0165),0.0098 (0.0089-0.0106),0.963 (0.9602-0.966)
OVAP,0.0397 (0.0289-0.0526),0.0074 (0.0037-0.0127),0.0067 (0.0032-0.012),0.9462 (0.9315-0.9591)
