race,SEN16PD_CV,SEN16PD_DE,SEN16PDNone
WVAP,0.0423 (0.0392-0.0454),0.0138 (0.0104-0.0175),0.9439 (0.9394-0.9486)
OVAP,0.0192 (0.0096-0.0318),0.0584 (0.041-0.0757),0.9224 (0.9012-0.9421)
