race,SEN18D,SEN18R,SEN18None
WVAP,0.088 (0.067-0.113),0.1932 (0.1825-0.2019),0.7189 (0.695-0.7395)
OVAP,0.347 (0.2327-0.4447),0.0809 (0.0441-0.1305),0.5721 (0.4785-0.6822)
