race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDNone
WVAP,0.0153 (0.0138-0.0168),0.0022 (0.0013-0.0032),0.0196 (0.0176-0.0215),0.963 (0.9603-0.9656)
BVAP,0.0087 (0.004-0.0158),0.0168 (0.01-0.0246),0.0188 (0.0098-0.0301),0.9557 (0.9403-0.9682)
HVAP,0.0339 (0.0131-0.0617),0.039 (0.0174-0.0665),0.0261 (0.0079-0.0567),0.901 (0.8576-0.9415)
OVAP,0.0253 (0.0089-0.0515),0.0429 (0.0189-0.0742),0.0235 (0.0065-0.0518),0.9083 (0.864-0.9485)
