race,AG18D,AG18R,AG18None
WVAP,0.0718 (0.0525-0.093),0.2151 (0.2025-0.2248),0.7131 (0.6917-0.7339)
OVAP,0.3712 (0.2734-0.4613),0.0865 (0.047-0.1416),0.5424 (0.4502-0.6406)
