race,AG14D,AG14R,AG14None
WVAP,0.0787 (0.0573-0.105),0.1946 (0.1836-0.2034),0.7267 (0.7017-0.7478)
OVAP,0.2483 (0.1301-0.3508),0.0834 (0.0451-0.136),0.6683 (0.5681-0.779)
