race,SEN12D,SEN12R,SEN12None
WVAP,0.271 (0.2539-0.2865),0.2042 (0.1969-0.21),0.5248 (0.5085-0.5416)
BVAP,0.51 (0.4713-0.5455),0.0085 (0.0046-0.0141),0.4815 (0.4464-0.52)
HVAP,0.1702 (0.0679-0.3504),0.0522 (0.0169-0.101),0.7776 (0.5933-0.8901)
OVAP,0.1802 (0.0793-0.3096),0.0415 (0.0125-0.0849),0.7783 (0.6444-0.8847)
