race,PRES12D,PRES12R,PRES12None
WVAP,0.2775 (0.2555-0.2995),0.3428 (0.3376-0.3468),0.3797 (0.3578-0.4011)
OVAP,0.5199 (0.4771-0.5604),0.0145 (0.0078-0.0234),0.4656 (0.4258-0.5077)
