race,COMP14D,COMP14R,COMP14None
WVAP,0.2505 (0.2356-0.2664),0.2082 (0.2042-0.2113),0.5413 (0.5254-0.5566)
OVAP,0.2904 (0.2575-0.3219),0.0118 (0.0067-0.0191),0.6978 (0.666-0.7299)
