race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDNone
WVAP,0.041 (0.038-0.044),0.0191 (0.0172-0.021),0.0132 (0.0118-0.0148),0.0051 (0.0042-0.0061),0.018 (0.0161-0.0199),0.9036 (0.8994-0.9077)
OVAP,0.0745 (0.0677-0.0817),0.0249 (0.0208-0.0293),0.0122 (0.0094-0.0154),0.0067 (0.0048-0.0088),0.0319 (0.0276-0.0364),0.8498 (0.8403-0.8593)
