race,COMP18D,COMP18R,COMP18None
WVAP,0.3303 (0.3076-0.3534),0.1726 (0.163-0.1816),0.4971 (0.4738-0.5203)
BVAP,0.4154 (0.3556-0.4755),0.0254 (0.0144-0.0406),0.5592 (0.5005-0.6162)
HVAP,0.4826 (0.2554-0.7091),0.1331 (0.05-0.2288),0.3843 (0.186-0.5939)
OVAP,0.4896 (0.2951-0.6721),0.0842 (0.0381-0.1495),0.4262 (0.2402-0.6148)
