race,COMP14D,COMP14R,COMP14None
WVAP,0.2576 (0.2418-0.2735),0.1963 (0.1882-0.2033),0.5461 (0.5294-0.5625)
BVAP,0.323 (0.2869-0.3589),0.0105 (0.0055-0.0178),0.6665 (0.6308-0.7027)
HVAP,0.0928 (0.0342-0.197),0.0617 (0.0212-0.1173),0.8455 (0.7266-0.9331)
OVAP,0.2141 (0.0967-0.3545),0.0605 (0.0176-0.1169),0.7254 (0.5911-0.846)
