race,GOV18D,GOV18R,GOV18None
WVAP,0.1208 (0.1036-0.1395),0.4579 (0.4442-0.4694),0.4214 (0.4019-0.441)
OVAP,0.3739 (0.3301-0.4161),0.0348 (0.02-0.0547),0.5913 (0.5503-0.6353)
