race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDNone
WVAP,0.0445 (0.0411-0.0477),0.0186 (0.0165-0.0207),0.0108 (0.009-0.0125),0.0033 (0.0024-0.0044),0.0179 (0.0157-0.02),0.9049 (0.9001-0.9099)
BVAP,0.085 (0.0757-0.0943),0.0264 (0.021-0.0321),0.0095 (0.0064-0.0131),0.0042 (0.0024-0.0063),0.0346 (0.0285-0.0408),0.8402 (0.8272-0.8529)
HVAP,0.0177 (0.0067-0.0366),0.0232 (0.009-0.0431),0.0183 (0.0046-0.0371),0.0113 (0.0038-0.0245),0.0158 (0.0052-0.0336),0.9137 (0.8758-0.9466)
OVAP,0.0376 (0.0161-0.0726),0.0253 (0.0088-0.0458),0.0417 (0.0248-0.0601),0.0307 (0.0188-0.0415),0.0327 (0.0147-0.0556),0.832 (0.7853-0.8734)
