race,PRES16D,PRES16R,PRES16None
WVAP,0.306 (0.2789-0.3345),0.3264 (0.3204-0.3315),0.3676 (0.3385-0.3947)
OVAP,0.4586 (0.3932-0.5199),0.0291 (0.0171-0.045),0.5123 (0.4517-0.5752)
