race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDNone
WVAP,0.0247 (0.0216-0.0278),0.0448 (0.0418-0.0479),0.0431 (0.04-0.0463),0.8874 (0.8824-0.8924)
OVAP,0.0892 (0.0809-0.0978),0.0251 (0.0195-0.0311),0.026 (0.0202-0.0326),0.8597 (0.8482-0.8709)
