race,SEN18D,SEN18R,SEN18None
WVAP,0.2756 (0.2552-0.2968),0.2313 (0.2262-0.2352),0.4931 (0.4719-0.5134)
OVAP,0.4048 (0.3581-0.4495),0.02 (0.0115-0.0318),0.5752 (0.5313-0.6196)
