race,AG18D,AG18R,AG18None
WVAP,0.271 (0.2484-0.2947),0.2787 (0.2731-0.2833),0.4502 (0.4264-0.473)
OVAP,0.4089 (0.3557-0.4601),0.0233 (0.0133-0.037),0.5678 (0.5173-0.6201)
