race,SEN12D,SEN12R,SEN12None
WVAP,0.2472 (0.2316-0.2638),0.213 (0.2093-0.2161),0.5399 (0.5231-0.5556)
OVAP,0.4519 (0.4174-0.4832),0.0095 (0.0054-0.0153),0.5385 (0.5073-0.5726)
