race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDNone
WVAP,0.0705 (0.0662-0.0746),0.0071 (0.0052-0.0092),0.0355 (0.0321-0.0388),0.8869 (0.8816-0.8925)
BVAP,0.0597 (0.0499-0.069),0.0364 (0.03-0.0433),0.0568 (0.0482-0.066),0.8471 (0.8337-0.8608)
HVAP,0.0217 (0.0073-0.0483),0.0428 (0.0184-0.0762),0.0344 (0.0114-0.0704),0.9011 (0.8422-0.9479)
OVAP,0.0303 (0.0094-0.0641),0.0492 (0.0253-0.0742),0.0326 (0.0126-0.0655),0.8879 (0.8402-0.9262)
