race,PRES16D,PRES16R,PRES16None
WVAP,0.2829 (0.2586-0.3082),0.3016 (0.287-0.3149),0.4155 (0.3907-0.441)
BVAP,0.4509 (0.3827-0.5145),0.0317 (0.0182-0.0498),0.5175 (0.4572-0.5819)
HVAP,0.7048 (0.5624-0.8247),0.1763 (0.0619-0.3077),0.1189 (0.0295-0.3021)
OVAP,0.5658 (0.3787-0.7191),0.1023 (0.0501-0.1768),0.3319 (0.1879-0.4976)
