race,SEN16D,SEN16R,SEN16None
WVAP,0.3052 (0.2761-0.3338),0.3398 (0.3334-0.3451),0.3549 (0.3268-0.3839)
OVAP,0.4647 (0.3983-0.5283),0.032 (0.0187-0.0498),0.5033 (0.4428-0.5661)
