race,AG14D,AG14R,AG14None
WVAP,0.1835 (0.1692-0.198),0.245 (0.2413-0.248),0.5716 (0.5571-0.5861)
OVAP,0.2843 (0.2554-0.3139),0.0099 (0.0055-0.0158),0.7058 (0.6767-0.7345)
