race,COMP18D,COMP18R,COMP18None
WVAP,0.3493 (0.3272-0.372),0.1915 (0.1865-0.1956),0.4592 (0.4369-0.4815)
OVAP,0.3999 (0.3473-0.4501),0.0243 (0.0141-0.038),0.5758 (0.5266-0.6261)
