race,SEN12PD_BC,SEN12PD_CM,SEN12PDNone
WVAP,0.0419 (0.0382-0.0457),0.0014 (0.0008-0.0021),0.9567 (0.9528-0.9605)
OVAP,0.0863 (0.0782-0.0941),0.0193 (0.0176-0.0208),0.8944 (0.8864-0.9027)
