race,SEN16PD_CV,SEN16PD_DE,SEN16PDNone
WVAP,0.1263 (0.1189-0.1337),0.0303 (0.0253-0.0357),0.8434 (0.8345-0.8519)
OVAP,0.0878 (0.074-0.1022),0.1647 (0.1507-0.1789),0.7475 (0.729-0.7668)
