race,AG14D,AG14R,AG14None
WVAP,0.195 (0.1805-0.2093),0.2359 (0.2284-0.2416),0.5691 (0.554-0.5852)
BVAP,0.3143 (0.2808-0.3462),0.0093 (0.005-0.0153),0.6764 (0.6443-0.7091)
HVAP,0.084 (0.0313-0.1831),0.0442 (0.0178-0.0874),0.8718 (0.7606-0.9404)
OVAP,0.1718 (0.0745-0.2875),0.0474 (0.0191-0.0918),0.7808 (0.662-0.8811)
