race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDNone
WVAP,0.0692 (0.0653-0.0733),0.0076 (0.0058-0.0095),0.0342 (0.0309-0.0375),0.889 (0.8836-0.8944)
OVAP,0.0524 (0.045-0.0599),0.0396 (0.0345-0.0447),0.0521 (0.0452-0.0591),0.856 (0.8447-0.867)
