race,GOV14D,GOV14R,GOV14None
WVAP,0.107 (0.0944-0.1207),0.3542 (0.3488-0.3586),0.5388 (0.5248-0.5519)
OVAP,0.282 (0.2544-0.3094),0.0114 (0.0064-0.0185),0.7066 (0.6789-0.735)
