race,BMAY21PAG,BMAY21PAC,BMAY21PKJ,BMAY21PMW,BMAY21PTurnout
WVAP,0.3036 (0.2855-0.3227),0.1936 (0.1758-0.2122),0.0616 (0.047-0.077),0.4412 (0.4185-0.4646),0.2461 (0.2353-0.2567)
BVAP,0.035 (0.0171-0.0548),0.2659 (0.2291-0.3026),0.5824 (0.5409-0.626),0.1167 (0.077-0.1546),0.2236 (0.2067-0.2404)
HVAP,0.1074 (0.0478-0.1894),0.1493 (0.0636-0.268),0.3379 (0.2013-0.4929),0.4055 (0.2263-0.5597),0.0739 (0.0531-0.0972)
ASIANVAP,0.1724 (0.087-0.2973),0.2515 (0.1221-0.4218),0.2168 (0.1074-0.3724),0.3592 (0.1657-0.5589),0.046 (0.0287-0.0683)
OVAP,0.1796 (0.0701-0.3412),0.3094 (0.1031-0.5343),0.2599 (0.0951-0.4765),0.2511 (0.0925-0.4476),0.0846 (0.051-0.1274)
