race,BMAY21PAG,BMAY21PAC,BMAY21PKJ,BMAY21PMW,BMAY21PTurnout
WVAP,0.3355 (0.3116-0.3591),0.1753 (0.1532-0.1981),0.0321 (0.0215-0.0451),0.4571 (0.4297-0.4845),0.2334 (0.2222-0.2446)
OVAP,0.0579 (0.0387-0.0789),0.2677 (0.2393-0.296),0.4671 (0.439-0.495),0.2073 (0.1742-0.2404),0.1315 (0.1241-0.1392)
