race,GOV14D,GOV14R,GOV14Turnout
WVAP,0.243 (0.2164-0.2701),0.757 (0.7299-0.7836),0.4755 (0.4592-0.4921)
OVAP,0.8944 (0.8158-0.9444),0.1056 (0.0556-0.1842),0.2671 (0.2129-0.324)
