race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDTurnout
WVAP,0.5626 (0.5374-0.5896),0.0899 (0.0696-0.1123),0.3474 (0.3244-0.3715),0.0793 (0.0756-0.0831)
OVAP,0.2958 (0.2202-0.3724),0.3074 (0.2344-0.3782),0.3968 (0.3255-0.4729),0.0808 (0.0682-0.0929)
