race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDTurnout
WVAP,0.3299 (0.3023-0.3586),0.3583 (0.3352-0.381),0.3117 (0.2887-0.3334),0.0798 (0.0759-0.0834)
OVAP,0.7567 (0.677-0.8274),0.1113 (0.0573-0.1763),0.132 (0.078-0.1999),0.0829 (0.0705-0.0965)
