race,COMP18D,COMP18R,COMP18Turnout
WVAP,0.5927 (0.57-0.6155),0.4073 (0.3845-0.43),0.5428 (0.5233-0.5615)
BVAP,0.8127 (0.6855-0.9021),0.1873 (0.0979-0.3145),0.3979 (0.3013-0.501)
HVAP,0.7889 (0.5686-0.9188),0.2111 (0.0812-0.4314),0.4554 (0.2866-0.6242)
OVAP,0.8327 (0.7089-0.9349),0.1673 (0.0651-0.2911),0.9432 (0.8665-0.9848)
