race,AG18D,AG18R,AG18Turnout
WVAP,0.4824 (0.4549-0.5103),0.5176 (0.4897-0.5451),0.5964 (0.5683-0.6248)
OVAP,0.8624 (0.766-0.9261),0.1376 (0.0739-0.234),0.402 (0.313-0.49)
