race,SEN12PD_BC,SEN12PD_CM,SEN12PDTurnout
WVAP,0.9606 (0.9415-0.9761),0.0394 (0.0239-0.0585),0.0453 (0.0417-0.0489)
OVAP,0.6151 (0.5453-0.6789),0.3849 (0.3211-0.4547),0.0708 (0.0602-0.0829)
