race,SEN12D,SEN12R,SEN12Turnout
WVAP,0.4568 (0.439-0.4739),0.5432 (0.5261-0.561),0.5267 (0.5101-0.5432)
OVAP,0.949 (0.9119-0.9743),0.051 (0.0257-0.0881),0.3574 (0.3054-0.4124)
