race,COMP18D,COMP18R,COMP18Turnout
WVAP,0.6004 (0.5808-0.6198),0.3996 (0.3802-0.4192),0.595 (0.571-0.6185)
OVAP,0.861 (0.7666-0.9242),0.139 (0.0758-0.2334),0.3826 (0.3049-0.4619)
