race,SEN16PD_CV,SEN16PD_DE,SEN16PDTurnout
WVAP,0.742 (0.7114-0.7726),0.258 (0.2274-0.2886),0.1327 (0.1257-0.1396)
OVAP,0.3295 (0.2528-0.4077),0.6705 (0.5923-0.7472),0.1659 (0.1432-0.1885)
