race,SEN16D,SEN16R,SEN16Turnout
WVAP,0.4377 (0.4107-0.4641),0.5623 (0.5359-0.5893),0.6796 (0.6517-0.709)
OVAP,0.864 (0.772-0.9263),0.136 (0.0737-0.228),0.4413 (0.3474-0.533)
